"last_name, first_name","player_id","year","pa","home_run","strikeout","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","oz_swing_percent","whiff_percent","swing_percent"
"Merrifield, Whit","593160","2018","707","12","114",16.1,8.6,".304",".438",".367",".349",".343",40.9,4.6,31.2,"96.66095251","92.375330251",29,18.9,47.9
"Bogaerts, Xander","593428","2018","580","23","102",17.6,9.5,".288",".522",".360",".373",".363",32.9,9.8,41.8,"101.100815529","94.926741831",26.7,21.1,43.2
"Calhoun, Kole","594777","2018","551","19","133",24.1,9.6,".208",".369",".283",".283",".332",34.3,9.3,43.1,"99.929027308","94.32071272",27.1,28.5,49.2
"Profar, Jurickson","595777","2018","594","20","88",14.8,9.1,".254",".458",".335",".341",".323",33.6,5,31.8,"97.443892545","92.779007182",30.2,18.6,48.6
"Báez, Javier","595879","2018","645","34","167",25.9,4.5,".290",".554",".326",".366",".340",33.1,12.6,43.3,"101.960975256","95.233508395",43.5,33.8,57.9
"Lindor, Francisco","596019","2018","745","38","107",14.4,9.4,".277",".519",".352",".368",".375",34.3,9.3,41,"100.765468945","94.6836536",29.8,17.5,47.1
"Odor, Rougned","596059","2018","535","18","127",23.7,8,".253",".424",".326",".325",".318",30.5,7.1,38.7,"100.916553114","94.677154835",33,22.8,48.5
"Story, Trevor","596115","2018","656","37","168",25.6,7.2,".291",".567",".348",".384",".358",38.2,12.7,46.2,"102.395632222","95.482000348",28.5,24.9,50.3
"Kepler, Max","596146","2018","611","20","96",15.7,11.6,".224",".408",".319",".316",".324",30.1,6.6,38.2,"99.909473889","94.078713565",21,17.8,42.7
"Bradley Jr., Jackie","598265","2018","535","13","137",25.6,8.6,".234",".403",".314",".310",".343",35.2,10.3,50.1,"101.981686","95.654560855",23.3,30.6,47.3
"Candelario, Jeimer","600869","2018","619","19","160",25.8,10.7,".224",".393",".317",".311",".292",32,6,33.6,"98.291855781","93.146780938",25.6,25.6,42.6
"Ahmed, Nick","605113","2018","564","16","109",19.3,7.1,".234",".411",".290",".300",".292",36.3,5.1,30,"96.624658634","92.358719756",30,25.2,50.4
"Anderson, Brian","605119","2018","670","11","129",19.3,9.3,".273",".400",".357",".333",".334",29.2,5.8,42.4,"100.726437706","94.570017532",23.4,24.3,46.3
"Bell, Josh","605137","2018","583","12","104",17.8,13.2,".261",".411",".357",".336",".340",29.6,7,39.3,"100.957818392","94.683419372",23.1,24.4,43
"Betts, Mookie","605141","2018","614","32","91",14.8,13.2,".346",".640",".438",".449",".431",39.4,14.1,50.6,"101.383521852","95.486972454",16.2,15.5,35.6
"Smith, Mallex","605480","2018","544","2","98",18,8.6,".296",".406",".367",".339",".302",32.2,1.5,23,"94.839756471","91.431387433",26,25.1,49.6
"Hernández, Teoscar","606192","2018","523","22","163",31.2,7.8,".239",".468",".302",".328",".342",35.1,15.5,46.2,"102.514606266","95.623418576",28.3,38.5,49.5
"Peraza, José","606299","2018","683","14","75",11,4.2,".288",".416",".326",".319",".304",38.2,2.5,23.6,"95.18880011","91.637686636",33.2,13.8,49.9
"Marte, Ketel","606466","2018","580","14","79",13.6,9.3,".260",".437",".332",".330",".320",28.8,5,36.9,"99.695361455","93.90705754",24,16,45.9
"Nimmo, Brandon","607043","2018","535","17","140",26.2,15,".263",".483",".404",".385",".349",33.4,6.5,42.1,"100.251318483","94.380795517",16.2,26.5,39.4
"Turner, Trea","607208","2018","740","19","132",17.8,9.3,".271",".416",".344",".331",".335",29,5.8,38.6,"99.818035769","94.018835173",23.2,20.2,44
"Pillar, Kevin","607680","2018","542","15","98",18.1,3.3,".252",".426",".282",".302",".321",39.3,5.7,36.7,"98.807658182","93.42694189",41.8,22.3,54
"Ramírez, José","608070","2018","698","39","80",11.5,15.2,".270",".552",".387",".391",".365",34.3,8.3,35.1,"98.357231341","93.291449939",19.9,13.6,38.6
"Bregman, Alex","608324","2018","705","31","85",12.1,13.6,".286",".532",".394",".396",".369",37.9,7.6,39.9,"98.834674016","93.548064961",18.2,12.9,37.1
"Gallo, Joey","608336","2018","577","40","207",35.9,12.8,".206",".498",".312",".343",".369",37.5,22.5,49.5,"105.865542192","97.404336976",29.5,40.7,48.6
"Mazara, Nomar","608577","2018","536","20","116",21.6,7.5,".258",".436",".317",".324",".332",28.2,8.5,43.4,"101.765366011","95.130262527",32.2,25.4,46.1
"Andujar, Miguel","609280","2018","606","27","97",16,4.1,".297",".527",".328",".361",".322",34.6,6.3,36.5,"99.385829292","93.793774438",36,19.7,53.1
"Swanson, Dansby","621020","2018","533","14","122",22.9,8.3,".238",".395",".304",".293",".281",32.1,4.1,34,"98.225714101","93.153072781",31.1,25.4,50.1
"Taylor, Chris","621035","2018","604","17","178",29.5,9.1,".254",".444",".331",".335",".321",39.5,8.3,38.5,"99.231367955","93.702039687",23.7,31.4,47.6
"Wendle, Joey","621563","2018","545","7","96",17.6,6.8,".300",".435",".354",".338",".304",31.8,2.7,35.7,"97.93373985","93.0904531",34.1,20.5,46.7
"Olson, Matt","621566","2018","660","29","163",24.7,10.6,".247",".453",".335",".340",".357",35.1,12.2,52.2,"103.477196555","96.467492926",21,27.5,44.4
"Duffy, Matt","622110","2018","560","4","93",16.6,8.4,".294",".366",".361",".323",".310",33.7,1.2,28.1,"96.121480485","92.150025572",25,17.3,46.5
"Margot, Manuel","622534","2018","519","8","88",17,6.2,".245",".384",".292",".288",".293",34,3.3,37,"99.341797113","93.825767442",24.9,21,46.6
"Camargo, Johan","622666","2018","524","19","108",20.6,9.7,".272",".457",".349",".346",".307",31.2,5,33.7,"97.769704389","92.943354123",32.3,26.6,49.5
